"","Maize_Type","KMeans_K10L2","n"
"1","Ancient Maize",NA,15
"2","Blank",NA,76
"3","Inbred","K10L2",23
"4","Inbred","N10",4500
"5","Inbred",NA,19
"6","Landrace","Ambiguous",15
"7","Landrace","K10L2",330
"8","Landrace","N10",4604
"9","Landrace",NA,441
"10","Teosinte - Mexicana","K10L2",7
"11","Teosinte - Mexicana","N10",132
"12","Teosinte - Mexicana",NA,9
"13","Teosinte - Parviglumis","K10L2",5
"14","Teosinte - Parviglumis","N10",157
"15","Teosinte - Parviglumis",NA,6
"16","Teosinte - Unknown","N10",39
"17","Teosinte - Unknown",NA,1
"18","Z. luxurians","N10",24
