"","Maize_Type","KMeans_BChrom","n"
"1","Ancient Maize",NA,15
"2","Blank",NA,76
"3","Inbred","Ambiguous",1
"4","Inbred","No",4508
"5","Inbred","Yes",16
"6","Inbred",NA,17
"7","Landrace","Ambiguous",21
"8","Landrace","No",4561
"9","Landrace","Yes",752
"10","Landrace",NA,56
"11","Teosinte - Mexicana","No",142
"12","Teosinte - Mexicana","Yes",4
"13","Teosinte - Mexicana",NA,2
"14","Teosinte - Parviglumis","No",167
"15","Teosinte - Parviglumis","Yes",1
"16","Teosinte - Unknown","No",39
"17","Teosinte - Unknown",NA,1
"18","Z. luxurians","No",24
