Name,Mean,Copy,Data_Source,Accession,Group,Maize_Type,Ab10_Status,B_Chrom_Status,Latitude,Longitude,Altitude,DTA_BLUP,DTS_BLUP,PH_BLUP,PresTiller_BLUP,KMeans_Ab10,RF_Ab10Type,KMeans_K10L2,KMeans_BChrom,Model
B542C_L289_B-Chrom.1.DC2,0.0068620269202799,0,Dawe_Lab_2,NA,NA,Inbred,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B542C_L289_B-Chrom.2.DC2,0.0083546247877612,0,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B542C_L289_B-Chrom.3.DC2,0.00887968679352302,0,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B542C_L289_B-Chrom.4.DC2,0.0089025322309974,0,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B542C_L289.1.DC2,0.00792384983845537,0,Dawe_Lab_2,NA,NA,Landrace,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B542C_L289.2.DC2,0.00733291368240041,0,Dawe_Lab_2,NA,NA,Landrace,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B542C_L289.3.DC2,0.00914862963456685,0,Dawe_Lab_2,NA,NA,Landrace,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B73_K10L2.1.DC2,0.0235712685205447,1,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B73_K10L2.10.DC2,0.0448143249477309,2,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B73_K10L2.11.DC2,0.0218109717348056,1,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B73_K10L2.2.DC2,0.0238397472241186,1,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B73_K10L2.3.DC2,0.0238683526126486,1,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B73_K10L2.4.DC2,0.0407485830009602,1,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B73_K10L2.5.DC2,0.0237037348477822,1,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B73_K10L2.6.DC2,0.0219012138385102,1,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B73_K10L2.7.DC2,0.0238272534799293,1,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B73_K10L2.8.DC2,0.0211180883221336,1,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B73_K10L2.9.DC2,0.0246195178886002,1,Dawe_Lab_2,NA,NA,Inbred,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B73_N10.1.DC2,0.00679719945772584,0,Dawe_Lab_2,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B73_N10.2.DC2,0.00673942592579983,0,Dawe_Lab_2,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B73_N10.3.DC2,0.00484597644316999,0,Dawe_Lab_2,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFMM_B-Chrom.1.DC2,0.00747327656926096,0,Dawe_Lab_2,NA,NA,Inbred,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFMM_B-Chrom.2.DC2,0.00754562566546348,0,Dawe_Lab_2,NA,NA,Inbred,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFMM_B-Chrom.3.DC2,0.00801619329843487,0,Dawe_Lab_2,NA,NA,Inbred,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFMM_B-Chrom.4.DC2,0.00928570657666028,0,Dawe_Lab_2,NA,NA,Inbred,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFMM.1.DC2,0.00762731195967998,0,Dawe_Lab_2,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFMM.2.DC2,0.00712060065455639,0,Dawe_Lab_2,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FFMM.3.DC2,0.00593854049064914,0,Dawe_Lab_2,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSL-2833_B-Chrom.1.DC2,0.00689559534885929,0,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSL-2833_B-Chrom.2.DC2,0.00598245413686079,0,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSL-2833_B-Chrom.3.DC2,0.00763415603480522,0,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NSL-2843_B-Chrom.1.DC2,0.0107355343136881,0,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI-217409.1.DC2,0.00647655367784852,0,Dawe_Lab_2,NA,NA,Landrace,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI-217409.2.DC2,0.0065238216313953,0,Dawe_Lab_2,NA,NA,Landrace,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI-217409.3.DC2,0.00922523559649395,0,Dawe_Lab_2,NA,NA,Landrace,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI-444954.1.DC2,0.00632606522870674,0,Dawe_Lab_2,NA,NA,Landrace,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI-444954.2.DC2,0.00849230856245245,0,Dawe_Lab_2,NA,NA,Landrace,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI-444954.3.DC2,0.00842457743236924,0,Dawe_Lab_2,NA,NA,Landrace,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI-483314_K10L2.1.DC2,0.022241784534374,1,Dawe_Lab_2,NA,NA,Landrace,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI-483314_K10L2.2.DC2,0.023157528384476,1,Dawe_Lab_2,NA,NA,Landrace,K10L2,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI-483314_K10L2.3.DC2,0.0468422317591856,2,Dawe_Lab_2,NA,NA,Landrace,Ab10_Unknown,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI-490921_B-Chrom.1.DC2,0.0072533737899957,0,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI-490921_B-Chrom.2.DC2,0.00679994082194688,0,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PI-490921_B-Chrom.3.DC2,0.00654672056977644,0,Dawe_Lab_2,NA,NA,Landrace,N10,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W23_N10.1.DC1,0.00753485351340903,0,Dawe_Lab_1,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W23_N10.1.DC2,0.00726068919173001,0,Dawe_Lab_2,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W23_N10.10.DC1,0.00669209804674148,0,Dawe_Lab_1,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W23_N10.11.DC1,0.00870781055712001,0,Dawe_Lab_1,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W23_N10.12.DC1,0.00899175427647612,0,Dawe_Lab_1,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W23_N10.13.DC1,0.0102404982126166,0,Dawe_Lab_1,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W23_N10.15.DC1,0.00829513548580158,0,Dawe_Lab_1,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W23_N10.16.DC1,0.00743962692597494,0,Dawe_Lab_1,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W23_N10.2.DC1,0.00804865077720642,0,Dawe_Lab_1,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W23_N10.2.DC2,0.00869856272585173,0,Dawe_Lab_2,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W23_N10.3.DC1,0.00923318560511683,0,Dawe_Lab_1,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W23_N10.3.DC2,0.00753039284058788,0,Dawe_Lab_2,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W23_N10.4.DC1,0.00749601801159311,0,Dawe_Lab_1,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W23_N10.5.DC1,0.00673116771483055,0,Dawe_Lab_1,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W23_N10.6.DC1,0.00689454096650566,0,Dawe_Lab_1,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W23_N10.7.DC1,0.0100501803884596,0,Dawe_Lab_1,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W23_N10.8.DC1,0.00537756285365532,0,Dawe_Lab_1,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W23_N10.9.DC1,0.00677043409225842,0,Dawe_Lab_1,NA,NA,Inbred,N10,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
