"","Variable","Beta","p","CDH"
"srad","srad",0.000243664991973158,9.93098921514276e-05,"BChr"
"sq5_simp2","sq5_simp2",-0.0421016721160299,0.864657669602314,"BChr"
"sq5_simp3","sq5_simp3",1.27979334537394,0.00259472723708215,"BChr"
"sq5_simp4","sq5_simp4",-1.92137416733059,0.0595185868447483,"BChr"
"PC1","PC1",53.7814754421111,5.82950212260588e-29,"BChr"
"PC2","PC2",-33.8258218822748,1.77261403417081e-20,"BChr"
"PC5","PC5",53.8441374114696,4.91283236479753e-18,"BChr"
"PC8","PC8",17.2104644011443,0.000216048865049453,"BChr"
"PC9","PC9",16.6648280771128,2.33887674440608e-06,"BChr"
"PC10","PC10",27.8212395112789,3.27977395277326e-15,"BChr"
